,open,high,low,close,num_tick,num_buy,num_sell,volume_buy,volume_sell,max_volume_buy,max_volume_sell,Hasbrouck_lambda,round_size
2017-10-01 08:58:56+00:00,33699.26058,33760.53333,32711.01,33647.44653,186,144,42,1835.980187999999,465.25233199999997,21.96554,21.80082,-2.445309487989092e-08,148
2017-10-01 12:24:45+00:00,33641.49486,33714.0,33283.22581,33360.67254,191,129,62,1579.8883999999994,739.08092,21.871760000000002,39.32282,-2.0562053659483659e-07,147
2017-10-01 13:27:53+00:00,33346.09149,33403.651260000006,33170.058710000005,33195.82762,181,139,42,1709.9424199999999,603.99324,22.98,21.77896,-9.444831623821119e-08,137
2017-10-01 14:36:13+00:00,33208.77397,33499.438989999995,33130.20589,33492.92923,184,145,39,1784.7212799999998,533.4267,21.91688,21.71412,1.5000002270711207e-07,144
2017-10-01 18:51:11+00:00,33441.45581,33829.292089999995,33440.96843,33825.830989999995,204,146,58,1710.123639999999,609.1316800000001,21.7769,21.52702,1.8528883793495105e-07,159
2017-10-02 02:04:29+00:00,33839.97975,34122.30272,33825.820660000005,34076.65272,185,162,23,2007.7119380000001,306.60094200000003,21.992820000000002,20.8837,9.098031574401146e-08,146
2017-10-03 01:13:52+00:00,34053.61321,34118.51842,33118.23804,33642.83666,274,210,64,1995.394646000002,306.54022399999997,21.22878,20.72232,-1.5349686402166255e-07,221
2017-10-03 08:14:06+00:00,33629.36672,33700.0,32789.228910000005,32891.38418,206,180,26,2116.560021999999,189.045808,21.96942,20.452939999999998,-2.443752251426969e-07,147
2017-10-03 09:02:03+00:00,32903.89115,33089.48972,32887.077110000006,32918.57415,190,188,2,2270.0878799999996,42.031639999999996,21.98584,21.47326,7.613100182965864e-09,162
2017-10-03 09:46:40+00:00,32933.27801,32986.20172,32634.843269999998,32718.9998,158,156,2,2284.4951600000013,18.11882,32.705859999999994,15.29982,-6.077057461974114e-08,107
2017-10-03 10:22:44+00:00,32714.536989999997,32851.88087,32365.86708,32602.360060000003,150,140,10,2214.5824800000005,86.64336,33.48118,20.0,-3.9438810340579295e-08,122
2017-10-03 15:58:34+00:00,32476.33934,33346.59852,32476.33934,32999.1696,204,159,45,1852.8524999999988,456.6516800000001,31.874840000000003,21.59968,1.829702724643983e-07,158
2017-10-04 08:12:44+00:00,33035.22707,33212.1606,26500.0,33143.88958,257,189,68,1929.894259999999,373.08531999999997,21.477339999999998,21.77896,5.8305733265116466e-08,220
2017-10-05 06:01:16+00:00,33162.004,33185.194410000004,32367.068519999997,32388.99205,294,227,67,2024.0497599999997,294.3910399999999,21.48282,21.2,-2.5593570268127276e-07,241
2017-10-05 20:58:35+00:00,32416.415569999997,33487.13568,32395.21083,33405.76118,202,170,32,2062.499629999999,252.53970000000004,21.95916,20.25226,3.6359507264156765e-07,156
2017-10-07 00:20:16+00:00,33389.98702,34797.62532,32819.95,34776.81622,238,187,51,1921.1918400000009,394.2354599999998,21.935760000000002,20.25226,5.230754245981886e-07,181
2017-10-08 09:24:30+00:00,34743.566289999995,35325.23794,34286.30022,35008.66385,322,220,102,1781.765019999998,520.1359999999997,21.66532,21.942079999999997,9.763862141629518e-08,282
2017-10-08 20:44:02+00:00,35018.949360000006,35323.08468,34980.089439999996,35084.21738,137,75,62,915.7320239999998,1386.502244,21.65466,105.4387,-3.515326334404413e-07,109
2017-10-09 06:09:15+00:00,35072.0338,35101.20166,34000.13024,34763.04687,198,154,44,1923.0867999999994,387.8581200200001,70.0,70.0,-1.3131216727249196e-07,163
2017-10-09 10:18:28+00:00,34466.39761,34466.39761,34153.128710000005,34392.02029,121,102,19,2079.1967799999998,220.82048,60.0,21.7411,-1.5505123634011767e-07,102
2017-10-09 20:21:05+00:00,34386.84881,34536.58456,32524.51,33335.82689,276,229,47,2004.5703999999976,297.81388,40.0,21.99836,-3.561507655907418e-07,234
2017-10-10 01:45:20+00:00,33332.4879,33636.03,32885.54245,33203.064510000004,192,108,84,1229.0175139800003,1079.6603307399998,36.54635,40.0,-4.347599336571709e-07,124
2017-10-11 08:32:51+00:00,33176.61,34298.43677,33163.1926,33825.24679,303,233,70,1840.4916812799995,460.26980265999987,36.8415,21.0811,2.543932449093948e-07,181
2017-10-12 20:14:31+00:00,33927.993239999996,34581.8858,33446.44086,34075.9544,295,211,84,1763.14764722,574.6627832199998,40.593540000000004,51.69724,1.1246732208981085e-07,239
2017-10-13 07:00:17+00:00,34047.95394,34570.285019999996,33779.32407,34570.285019999996,239,164,75,2076.6838278999976,345.16295999999994,204.60963999999998,40.0,2.563659906564456e-07,192
